market_name,addr,business_week,context,ValidDate,Lontitude,Latitude,case_code,last_edited_date,type,badge_code,business_hours,business_hours_end
究挑食松南店,臺北市中山區松江路108巷3號1樓,"星期一,星期二,星期三,星期四,星期五","講究不將究的美味。
在我們生活的這片土地上，有一群人，始終堅持以講究的態度，提供我們最好的食物選擇。
安心、安全是「究挑食」對吃得好最基本的定義。
探究食材挑選，研究菜色搭配，講究營養均衡，追求簡單樸實的原味，是我們絕不將究的態度!
我們期望串起食材到餐桌之間，為每位顧客的健康把關，讓食物的自然原味引導您的味蕾，讓美味回歸最基本的感動。",2023-11-09,121.532336,25.051492,2020103000002,"2021-01-15 10:15:21",餐飲,B000001,11:00,19:00
垂直食肆餐廳,雲林縣大埤鄉豐田路57號,"星期三,星期四,星期五,星期六,星期日",良作工場是究好豬的家，講究從農場到餐桌全程溯源歷程，紮實每一步驟，才能品嚐到純正好豬肉的源封美味，就為了讓客戶真正安心吃飯。垂直食肆是究好豬匠心獨具的展演舞台，主廚運用不同部位肉的特質鑽研巧妙的料理手法，結合雲林在地優質的農產食材，堅持少添加，回歸飲食初衷，吃得安心、吃得健康、吃得明白、吃得乾淨。走一趟良作農食教育之旅，親身感受究好豬就是好豬；循着舌尖上的味蕾體驗每一道美食佳餚，吃了究懂究好豬,2023-11-06,120.466418,23.639457,2020110100003,"2021-01-15 02:10:49",餐飲,C000001,11:00,16:00
昇陽肉鬆行,桃園市桃園區永安里長春路15號1樓,"星期一,星期二,星期三,星期四,星期五,星期六,星期日","創立於1970年--專門製作肉鬆.肉乾
堅持製作優質好品質,是大街小巷街訪鄰居追尋的好滋味.沒有華麗的包裝.只有最道地的好口味
是餐桌上的好配角.也是休閒時的好夥伴~請大家一定要試試",2023-11-19,121.305891,25.000173,2020110100005,"2021-01-15 02:10:49",販售,C000051,07:00,20:00
馨藝,新北市三重區正義北路380號1樓,"星期一,星期二,星期三,星期四,星期五,星期六","小吃店自助餐 ",2023-11-13,121.493319,25.071512,2020110100006,"2021-01-15 02:10:49",餐飲,C000014,23:00,20:00
田家特製高粱酒香腸行,臺中市后里區敦北里大興路47號,"星期三,星期四,星期五,星期六,星期日","年節送禮、中秋烤肉、最佳選擇 創立於西元1963年---三代老店 良心經營，實在好店家 后里地區，唯一經過SGS專業安心檢驗合格的香腸！我們完全不添加防腐劑哦！ 全省宅配，可貨到付款",2023-11-14,120.712828,24.305906,2020110200001,"2021-01-15 02:10:49",販售,D000030,06:30,12:00
" 榮昌油炸食品",臺北市中正區金山南路一段１４１號１樓,"星期二,星期五,星期六,星期日","傳承第三代傳統台灣炸物， 嚴選新鮮在地食材， 全商品純手工製作， 不加色素、防腐劑、人工甘味劑， 當日現炸， 製作安心又美味， 讓大家吃到更純粹的美味。",2023-11-13,121.527536,25.034965,2020110200005,"2021-01-15 02:10:49",販售,B000017,08:00,13:00
永達香肉脯店,南投縣水里鄉民族路341號,"星期一,星期二,星期三,星期四,星期五,星期六,星期日",50年老店～美味肉類製品。肉鬆、肉乾、肉絲...等。,2023-11-17,120.85362,23.815631,2020110200006,"2021-01-15 02:10:49",工廠與製造,D000038,07:00,21:00
鼎心鮮肉鋪,臺南市佳里區安南路594號,"星期二,星期三,星期四,星期五,星期六,星期日",全程冷藏台灣溫體黑豬肉,2023-11-06,120.171173,23.158722,2020110200008,"2021-01-15 02:10:49",販售,C000002,06:30,14:00
榮彬食品有限公司,臺北市士林區福港街110巷1弄2之1號,"星期一,星期二,星期三,星期四,星期五",,2023-11-19,121.517629,25.088481,2020110200009,"2021-01-15 02:10:49",販售,C000050,07:00,16:00
花月嵐-信義威秀店,臺北市信義區松壽路20號2F,"星期一,星期二,星期三,星期四,星期五,星期六,星期日","花月嵐研發中心的拉麵職人們賭上名譽的作品，絞盡腦汁研發出心目中的夢幻拉麵與新創意，每3個月以期間限定的方式推出。
目前已有超過十餘種口味，每一款都是獨具特色的限定美味，這不但是花月迷們每季期待的最新消息，廣受客人們喜愛的限定拉麵甚至也會因應大眾要求而成為固定菜單。",2023-11-20,121.567404,25.03564,2020110200011,"2021-01-15 07:01:15",餐飲,A000172,10:30,22:30
麥加饅頭賣點,苗栗縣後龍鎮１８鄰中山路２１８號,"星期三,星期四,星期五,星期六,星期日",本店為包子饅頭專賣店，店內販售的上肉包和竹筍鮮肉包的豬肉來源為苗栗肉品市場的溫體豬。,2023-11-19,120.793471,24.612887,2020110200012,"2021-01-15 02:10:49",餐飲,B000064,03:30,11:30
Nu彰化中正店,彰化縣彰化市中正路二段680-5號,"星期一,星期二,星期三,星期四,星期五,星期六,星期日","用心來自現點現做，您安心享用美食，我們強化對食材品質的管控，堅持品質，從大事項至小細節，層層把關您的健康，食安不能妥協，讓您食在好安心 !(營業時間，實際依現場門店為主)",2023-11-20,120.534699,24.066396,2020110200013,"2021-01-15 02:10:49",餐飲,A000186,11:00,21:00
"天利食堂 家樂福經國店",桃園市桃園區經國路369號2樓,"星期一,星期二,星期三,星期四,星期五,星期六,星期日","用心來自現點現做，您安心享用美食，我們強化對食材品質的管控，堅持品質，從大事項至小細節，層層把關您的健康，食安不能妥協，讓您食在好安心 !",2023-11-19,121.304911,25.015613,2020110200015,"2021-01-15 02:10:49",餐飲,A000047,11:00,21:00(各店略有不同，依現場為準)
坤伯傳家餃,新北市汐止區南陽街250號(1樓及夾層),"星期一,星期二,星期三,星期四,星期五,星期六",我們是一間鍋貼、水餃專賣店。,2023-11-19,121.627052,25.056801,2020110200017,"2021-01-15 02:10:49",工廠與製造,B000065,09:00,18:00
天仁餐盒有限公司,臺北市內湖區新明路三二一巷十弄八、十、十二號一樓,"星期一,星期二,星期三,星期四,星期五,星期六","天仁餐盒有限公司 創立於民國 79 年，主要從事餐飲團膳；擁有為數不少的客戶群。本公司擁有優秀的經營團隊，追求企業永續經營及成長；除整體營運穩定外，我們重視每一位員工，有良好工作環境、也提供學習及成長的空間。",2023-11-07,121.585064,25.056654,2020110200018,"2021-01-15 02:10:49",工廠與製造,B000002,06:00,16:30
宮保王食品有限公司,臺北市南港區南港路三段一四九巷四九弄十二、十四號,"星期一,星期二,星期三,星期四,星期五",本公司是提供學校營養的工廠,2023-11-11,121.585624,25.052102,2020110200019,"2021-01-15 02:10:49",工廠與製造,C000018,08:56,17:00
正一排骨,桃園市桃園區中正路730號,"星期一,星期二,星期三,星期四,星期五,星期六,星期日","正一排骨創立於1991年，源自於一份對媽媽味的懷念及料理的熱愛。榮獲兩屆桃園金牌好店及全國網購年菜評比連續五年優勝及冠軍，是全台最食尚的排骨中式餐飲店。本著山珍海味最愛媽媽味的精神，努力研發用心專研，以發提台灣小吃之真情味。 嚴選食材，堅持品質，重視健康，追求口感，一路走來始終如一。我們的最大終旨是希望成為文化傳承的推手，將台灣飲食文化發揚光大，讓經典的台灣特色餐點繼續傳承下去。",2023-11-13,121.302773,25.008158,2020110200020,"2021-01-15 02:10:49",餐飲,C000013,10:30,20:00
元本食品行,新北市樹林區坡內里光明街一０號一樓,"星期一,星期二,星期三,星期四,星期五",,2023-11-21,121.411038,24.98917,2020110200021,"2021-01-15 02:10:49",工廠與製造,D000139,08:00,17:00
元本食品有限公司,新北市樹林區光明街10號(1樓),"星期一,星期二,星期三,星期四,星期五",,2023-11-19,121.411038,24.98917,2020110200023,"2021-01-15 02:10:49",餐飲,C000080,08:00,17:00
魯肉賴小吃店,臺中市豐原區中正路78巷14號,"星期二,星期三,星期四,星期五,星期六,星期日",豐原在地特色小吃,2023-11-19,120.720828,24.253062,2020110200024,"2021-01-15 02:10:49",餐飲,C000081,05:30,13:30
唯興食品有限公司,高雄市鳳山區武慶里輜汽北二路１６號,"星期一,星期二,星期三,星期四,星期五",,2023-11-10,120.334236,22.616754,2020110200025,"2021-01-15 02:10:49",工廠與製造,B000015,20:00,05:00
珍好鍋貼,臺北市南港區玉成街128號,"星期一,星期二,星期三,星期四,星期五,星期六",我們是一間鍋貼水餃專賣店,2023-11-19,121.583039,25.045037,2020110200027,"2021-01-15 02:10:49",餐飲,B000067,09:00,20:00
陞煇食品股份有限公司,雲林縣斗南鎮新崙里新崙路87-16號2樓,"星期一,星期二,星期三,星期四,星期五",本公司歷經家族四代經營之後，於2012年邁向公司化治理而改制創立陞煇食品股份有限公司，主要業務為豬隻屠宰，國內冷藏、冷凍豬肉販售及各品牌委託代工生產等。公司豬隻主要來源為雲林肉品市場拍賣以及雲林縣境內優質豬農所提供，本公司最大特色為產銷一貫作業場，由屠宰、分切、加工、包裝全程廠內施作完成，並逐步更新及增設有關電宰、分切、加工及污水處理設備，打造兼具效率、安全、環保及提供優質肉品的現代化工作場所。,2023-11-24,120.421512,23.67798,2020110200028,"2021-01-15 02:10:49",工廠與製造,A000222,08:30,21:30
第一餐盒股份有限公司,臺北市南港區重陽路263巷8號,"星期一,星期二,星期三,星期四,星期五",,2023-11-13,121.602982,25.058346,2020110200030,"2021-01-15 02:10:49",販售,B000016,08:00,16:00
